"evidence","value","source"
"target_manager_and_runner_package_completed","true","V430OD carried milestone context"
"original_reliable_steam_public_readonly_format_retained","true","V430OD context"
"bad_deduped_6_target_format_disabled","true","V430OD context"
"old_failed_targets_reviewed_and_excluded","5","C:\Users\sunpu\Desktop\pycson\1029_V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD\V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD_20260520_043000\04_EXCLUDED_TARGETS\steam_mature_loop_excluded_failed_targets.csv"
"replacement_target_process_completed","true","V430NT/V430NU lineage carried by V430OD"
"final_7_target_pool_validated","7","C:\Users\sunpu\Desktop\pycson\1029_V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD\V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD_20260520_043000\03_TARGET_POOL\steam_mature_loop_final_target_pool.csv"
"validation_price_candidates_obtained","7","V430NU/V430OD register"
"mature_source_rows_normalized","7","C:\Users\sunpu\Desktop\pycson\1029_V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD\V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD_20260520_043000\06_SCREENING_HANDOFF_FEED\steam_mature_loop_screening_handoff_feed_register.csv"
"stale_drift_liquidity_risk_screened_rows","7","C:\Users\sunpu\Desktop\pycson\1029_V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD\V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD_20260520_043000\06_SCREENING_HANDOFF_FEED\steam_mature_loop_screening_handoff_feed_register.csv"
"isolated_ev_handoff_ready_rows","7","C:\Users\sunpu\Desktop\pycson\1029_V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD\V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD_20260520_043000\06_SCREENING_HANDOFF_FEED\steam_mature_loop_screening_handoff_feed_register.csv"
"result_package_consolidated","true","V430NY/V430OD lineage"
"isolated_ev_feed_authorization_created","true","V430OA lineage"
"isolated_ev_feed_executed","true","V430OB lineage"
"isolated_ev_feed_review_passed","true","V430OC lineage"
"final_closeout_passed","true","C:\Users\sunpu\Desktop\pycson\1029_V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD\V430OD_STEAM_MATURE_LOOP_FINAL_CLOSEOUT_OR_HOLD_20260520_043000\12_REPORT\v430od_steam_mature_loop_final_closeout_or_hold_report.json"
"git_sync_healthy_at_v430od","true","C:\Users\sunpu\Desktop\pycson\11_SYSTEM_AUDIT_HANDOFF\99_AI_GENERATED_SYSTEM_INDEX\v430od_steam_mature_loop_final_closeout_or_hold_latest.json"
